seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,0.00,0.00,4.00,0.00
60,0.00,0.00,4.00,0.00
90,0.00,0.00,4.00,0.00
120,0.00,0.00,4.00,0.00
150,0.00,0.00,4.00,0.00
180,0.00,0.00,6.00,0.00
210,0.00,0.00,6.00,0.00
240,0.00,0.00,7.00,0.00
270,0.00,0.00,7.00,0.00
300,0.00,0.00,7.00,0.00
330,0.00,0.00,7.00,0.00
360,0.00,0.00,7.00,0.00
390,0.00,0.00,7.00,0.00
420,0.00,0.00,7.00,0.00
450,0.00,0.00,7.00,0.00
480,0.00,0.00,7.00,0.00
510,0.00,0.00,7.00,0.00
540,0.00,0.00,7.00,0.00
570,0.00,0.00,7.00,0.00
600,0.00,0.00,7.00,0.00

time +odiff>0:
600.00 (+/- 0.00) min=600
+odiff_times=[600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600]
#odiffs=[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
#ddiffs=[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]